Category,Description,Caption,Shape,BGColour,BDColour,Text,Symbol1,Symbol2,DGNo,JPG,EPS,PDF
Direction and tourist signs,100 yards to a roundabout or the next point at which traffic may leave a non-primary route,100 yards to a roundabout or the next point at which traffic may leave a non-primary route,Rectangular,Blue,White,None,Other,Other,823,825VR.jpg,825VR.eps,Not available
Direction and tourist signs,200 yards to a roundabout or the next point at which traffic may leave a primary route,200 yards to a roundabout or the next point at which traffic may leave a primary route,Rectangular,Blue,White,None,Other,Other,824,824V.jpg,824V.eps,Not available
Direction and tourist signs,200 yards to a roundabout or the next point at which traffic may leave a non-primary route,200 yards to a roundabout or the next point at which traffic may leave a non-primary route,Rectangular,Blue,White,None,Other,Other,824,824VR.jpg,824VR.eps,Not available
Direction and tourist signs,300 yards to a roundabout or the next point at which traffic may leave a primary route,300 yards to a roundabout or the next point at which traffic may leave a primary route,Rectangular,Blue,White,None,Other,Other,825,823V.jpg,823V.eps,Not available
Direction and tourist signs,300 yards to a roundabout or the next point at which traffic may leave a non-primary route,300 yards to a roundabout or the next point at which traffic may leave a non-primary route,Rectangular,Blue,White,None,Other,Other,825,823VR.jpg,823VR.eps,823VR.pdf
Direction and tourist signs,Tourist symbol for England and Wales: beach,Tourist symbol for England and Wales: beach,Rectangle,Brown,Brown,None,Other,Other,0,T118.jpg,T118.eps,Not available
Direction and tourist signs,Tourist symbol for England and Wales: bird garden,Tourist symbol for England and Wales: bird garden,Rectangle,Brown,Brown,None,Other,Other,0,T113.jpg,T113.eps,T113.pdf
Direction and tourist signs,Tourist symbol for England and Wales: castle of historic or architectural interest,Tourist symbol for England and Wales: castle of historic or architectural interest,Rectangle,Brown,Brown,None,Other,Other,0,T2.jpg,T2.eps,Not available
Direction and tourist signs,Tourist symbol for England and Wales: country park,Tourist symbol for England and Wales: country park,Rectangle,Brown,Brown,None,Other,Other,0,T112.jpg,T112.eps,Not available
Direction and tourist signs,Tourist symbol for England only: property in the care of English heritage,Tourist symbol for England only: property in the care of English heritage,Rectangle,Brown,Brown,None,Other,Other,0,T202.jpg,T202.eps,Not available
